V5001,V5002,V5003,case_number,V5005,V5006,V5007,V5008,V5009,V5010,V5011
5,3,AR0040200,2W1I0U727Y6X,20161217,1,0,M,W,2,H
5,3,AR0040200,2W1I0U727Y6X,20161217,2,18,M,W, ,H
5,3,AR0040200,2W1I0U727Y8,20161218,1,18,F,W,2,N
5,3,AR0040200,2W1I0U727Y8,20161218,2,17,M,B, ,N
5,3,AR0040200,2W1I0U727Y84,20161218,1,41,M,W,1,H
5,3,AR0040200,2W1I0U727Y88,20161218,1,41,M,B,1,N
5,3,AR0040200,2W1I0U727Y8D,20161218,1,0,U,U,1,U
5,3,AR0040200,2W1I0U727Y8O,20161218,1,45,M,W,1,N
5,3,AR0040200,2W1I0U727Y8R,20161218,1,21,M,W,2,N
5,3,AR0040200,2W1I0U727Y8R,20161218,2,19,M,W, ,N
5,3,AR0040200,2W1I0U727Y8W,20160430,1,15,M,W,1,H
5,3,AR0040200,2W1I0U727Y8X,20161218,1,40,M,W,1,N
5,3,AR0040200,2W1I0U727YB4,20161215,1,0,U,U,1,U
5,3,AR0040200,2W1I0U727YB8,20161216,1,0,U,U,1,U
5,3,AR0040200,2W1I0U727YBD,20161216,1,28,M,W,1,N
5,3,AR0040200,2W1I0U727YBN,20161216,1,0,U,U,1,U
5,3,AR0040200,2W1I0U727YBO,20161215,1,0,F,U,2,U
5,3,AR0040200,2W1I0U727YBO,20161215,2,0,F,U, ,U
5,3,AR0040200,2W1I0U727YBW,20161215,1,0,M,W,1,N
5,3,AR0040200,2W1I0U727YJ4,20161212,1,27,M,W,2, 
5,3,AR0040200,2W1I0U727YJ4,20161212,2,27,F,W, ,N
5,3,AR0040200,2W1I0U727YJN,20161212,1,39,M,W,1,N
5,3,AR0040200,2W1I0U727YJO,20160801,1,0,U,U,1,U
5,3,AR0040200,2W1I0U727YJX,20161214,1,0,U,U,1,U
5,3,AR0040200,2W1I0U727YK,20161216,1,20,F,W,1,H
5,3,AR0040200,2W1I0U727YK8,20161216,1,19,M,W,2,N
5,3,AR0040200,2W1I0U727YK8,20161216,2,19,M,W, ,H
5,3,AR0040200,2W1I0U727YKN,20161216,1,31,M,W,1,N
5,3,AR0040200,2W1I0U727YT,20161215,1,24,F,W,1,N
5,3,AR0040200,2W1I0U727YTD,20161217,1,29,M,W,1,H
5,3,AR0040200,2W1I0U727YTN,20161217,1,21,M,W,2,N
5,3,AR0040200,2W1I0U727YTN,20161217,2,25,M,W, ,N
5,3,AR0040200,2W1I0U727YXR,20161214,1,0,U,U,1,U
5,3,AR0040200,2W1I0U727YXW,20161214,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282 4,20160203,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282 8,20160203,1,18,M,W,1,N
5,3,AR0040200,2W1I0U7282 W,20160203,1,38,M,W,1,N
5,3,AR0040200,2W1I0U7282 X,20160203,1,17,M,W,1,N
5,3,AR0040200,2W1I0U728204,20160201,1,18,M,W,2,N
5,3,AR0040200,2W1I0U728204,20160201,2,23,F,W, ,N
5,3,AR0040200,2W1I0U72820D,20160128,1,30,F,W,1,N
5,3,AR0040200,2W1I0U72820N,20160201,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72822,20160201,1,21,M,W,1,N
5,3,AR0040200,2W1I0U72822D,20160201,1,16,F,W,1,N
5,3,AR0040200,2W1I0U72822I,20160202,1,20,F,W,1,N
5,3,AR0040200,2W1I0U72822N,20160202,1,24,M,W,1,N
5,3,AR0040200,2W1I0U72822O,20160201,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72826,20160201,1,24,M,W,1, 
5,3,AR0040200,2W1I0U728264,20160202,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72826I,20160130,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72826X,20160203,1,32,M,W,1,N
5,3,AR0040200,2W1I0U72828,20160203,0, , , ,1, 
5,3,AR0040200,2W1I0U728288,20160127,1,0,U,U,2,U
5,3,AR0040200,2W1I0U728288,20160127,2,29,M,W, ,N
5,3,AR0040200,2W1I0U72828X,20160202,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282BI,20160202,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282BN,20160131,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282BR,20160202,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282BX,20160202,1,0,U,U,4,U
5,3,AR0040200,2W1I0U7282BX,20160202,2,0,U,U, ,U
5,3,AR0040200,2W1I0U7282BX,20160202,3,48,M,W, ,N
5,3,AR0040200,2W1I0U7282BX,20160202,4,28,M,W, ,N
5,3,AR0040200,2W1I0U7282J,20160201,1,17,M,W,1,N
5,3,AR0040200,2W1I0U7282J8,20160130,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282JO,20160201,1,28,F,W,1,N
5,3,AR0040200,2W1I0U7282JW,20160130,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282KD,20160202,1,0,U,U,2,U
5,3,AR0040200,2W1I0U7282KD,20160202,2,18,M,W, ,N
5,3,AR0040200,2W1I0U7282KI,20160201,1,48,F,W,1,N
5,3,AR0040200,2W1I0U7282KN,20160202,1,24,F,W,2,N
5,3,AR0040200,2W1I0U7282KN,20160202,2,34,F,W, ,N
5,3,AR0040200,2W1I0U7282KX,20160202,1,0,U,U,2,U
5,3,AR0040200,2W1I0U7282KX,20160202,2,48,M,W, ,N
5,3,AR0040200,2W1I0U7282TD,20160202,1,31,M,W,1,N
5,3,AR0040200,2W1I0U7282TR,20160203,1,28,M,W,1,N
5,3,AR0040200,2W1I0U7282TW,20160202,1,26,M,W,1,N
5,3,AR0040200,2W1I0U7282X,20160201,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282X4,20160131,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282XO,20160131,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7282XR,20160201,1,0,F,W,1,N
5,3,AR0040200,2W1I0U7282XX,20160131,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284,20160121,1,14,M,B,1,N
5,3,AR0040200,2W1I0U7284 D,20160122,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284 R,20160122,1,23,F,W,1,H
5,3,AR0040200,2W1I0U7284 W,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284 X,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72840,20150618,1,34,F,A,1,N
5,3,AR0040200,2W1I0U728404,20160120,1,28,M,W,1,N
5,3,AR0040200,2W1I0U728408,20160119,1,38,M,W,1,N
5,3,AR0040200,2W1I0U72840D,20160119,1,38,M,W,1,N
5,3,AR0040200,2W1I0U72840I,20160120,1,0,U,U,2,U
5,3,AR0040200,2W1I0U72840I,20160120,2,35,F,W, ,N
5,3,AR0040200,2W1I0U72840O,20160119,2,38,M,W,1,N
5,3,AR0040200,2W1I0U72840R,20160119,2,38,M,W,1,N
5,3,AR0040200,2W1I0U72840X,20160119,2,38,M,W,1,N
5,3,AR0040200,2W1I0U72842,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728424,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728428,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72842I,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72842O,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72842R,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72842X,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728464,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72846W,20160121,1,16,M,W,1,N
5,3,AR0040200,2W1I0U72846X,20160120,1,40,M,W,1,N
5,3,AR0040200,2W1I0U728484,20160117,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72848I,20160122,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72848N,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72848X,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284B,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284B4,20160119,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284BI,20160121,1,52,F,W,1,N
5,3,AR0040200,2W1I0U7284JN,20160119,1,34,M,W,1,N
5,3,AR0040200,2W1I0U7284JO,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284JW,20160109,1,30,M,W,2,N
5,3,AR0040200,2W1I0U7284JW,20160109,2,0,M,W, ,H
5,3,AR0040200,2W1I0U7284K,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284K4,20160118,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284K8,20160121,1,19,M,W,2,N
5,3,AR0040200,2W1I0U7284K8,20160121,2,18,F,W, ,N
5,3,AR0040200,2W1I0U7284TI,20160122,1,18,F,W,1,N
5,3,AR0040200,2W1I0U7284TN,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284TX,20160122,1,19,M,W,1,N
5,3,AR0040200,2W1I0U7284X,20160121,1,30,M,A,1,N
5,3,AR0040200,2W1I0U7284X8,20160121,1,20,M,W,1,H
5,3,AR0040200,2W1I0U7284XI,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284XN,20160120,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7284XX,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286 4,20160112,1,30,M,W,1,N
5,3,AR0040200,2W1I0U7286 8,20160113,1,44,M,W,1,H
5,3,AR0040200,2W1I0U7286 I,20160113,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286 N,20160113,1,33,M,U,1,N
5,3,AR0040200,2W1I0U7286 O,20160112,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286 R,20160112,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72860,20160109,1,12,F,W,2,N
5,3,AR0040200,2W1I0U72860,20160109,2,14,F,W, ,N
5,3,AR0040200,2W1I0U72860D,20160109,1,30,F,W,1,N
5,3,AR0040200,2W1I0U72860I,20160105,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72860R,20160109,1,22,M,W,1,H
5,3,AR0040200,2W1I0U72860W,20160109,1,28,M,W,1,N
5,3,AR0040200,2W1I0U72860X,20160110,1,30,M,W,1,H
5,3,AR0040200,2W1I0U72862,20160111,1,20,M,W,1,N
5,3,AR0040200,2W1I0U728624,20160111,1,25,M,W,2,N
5,3,AR0040200,2W1I0U728624,20160111,2,26,M,W, ,N
5,3,AR0040200,2W1I0U728628,20160111,1,16,M,U,1,U
5,3,AR0040200,2W1I0U72862W,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72866I,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72866N,20160110,1,16,M,W,1,N
5,3,AR0040200,2W1I0U72866X,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728684,20160113,1,23,M,W,1,N
5,3,AR0040200,2W1I0U72868D,20160113,1,29,M,W,4,N
5,3,AR0040200,2W1I0U72868D,20160113,2,29,M,W, ,N
5,3,AR0040200,2W1I0U72868D,20160113,3,29,F,W, ,N
5,3,AR0040200,2W1I0U72868D,20160113,4,30,M,W, ,H
5,3,AR0040200,2W1I0U7286B4,20160111,1,13,M,W,1,N
5,3,AR0040200,2W1I0U7286BI,20160109,1,52,M,W,1,N
5,3,AR0040200,2W1I0U7286BN,20160111,1,35,F,W,1,N
5,3,AR0040200,2W1I0U7286BO,20160109,1,30,F,W,1,N
5,3,AR0040200,2W1I0U7286BR,20160111,1,0,M,W,1,N
5,3,AR0040200,2W1I0U7286J,20151031,1,54,M,W,1,H
5,3,AR0040200,2W1I0U7286J8,20151102,1,54,M,W,1,H
5,3,AR0040200,2W1I0U7286JD,20151106,1,54,M,W,1,H
5,3,AR0040200,2W1I0U7286JI,20160104,1,26,F,W,2,N
5,3,AR0040200,2W1I0U7286JI,20160104,2,22,F,W, ,N
5,3,AR0040200,2W1I0U7286JN,20160109,1,23,M,W,1,N
5,3,AR0040200,2W1I0U7286JO,20151105,1,54,M,W,1,H
5,3,AR0040200,2W1I0U7286JR,20151103,1,54,M,W,1,H
5,3,AR0040200,2W1I0U7286JW,20160109,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286JX,20151107,1,54,M,W,1,H
5,3,AR0040200,2W1I0U7286K,20160111,1,33,M,W,1,N
5,3,AR0040200,2W1I0U7286K4,20160111,1,16,M,W,1,N
5,3,AR0040200,2W1I0U7286KD,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286KI,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286KN,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286KO,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286KX,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286TI,20160112,1,37,M,W,3,N
5,3,AR0040200,2W1I0U7286TI,20160112,2,31,M,W, ,N
5,3,AR0040200,2W1I0U7286TI,20160112,3,40,M,U, , 
5,3,AR0040200,2W1I0U7286TN,20160112,1,26,F,W,1,N
5,3,AR0040200,2W1I0U7286TW,20160112,1,30,M,W,1,N
5,3,AR0040200,2W1I0U7286X4,20160110,1,22,M,W,2,H
5,3,AR0040200,2W1I0U7286X4,20160110,2,17,F,I, ,N
5,3,AR0040200,2W1I0U7286XI,20160108,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7286XN,20160106,1,15,M,W,3,H
5,3,AR0040200,2W1I0U7286XN,20160106,2,15,M,W, ,N
5,3,AR0040200,2W1I0U7286XN,20160106,3,15,M,W, ,N
5,3,AR0040200,2W1I0U7286XR,20160110,1,48,M,W,2,N
5,3,AR0040200,2W1I0U7286XR,20160110,2,46,M,W, ,N
5,3,AR0040200,2W1I0U7287 4,20160115,1,41,U,U,1,U
5,3,AR0040200,2W1I0U7287 I,20160116,1,22,F,W,1,H
5,3,AR0040200,2W1I0U7287 O,20160115,1,17,M,W,2,H
5,3,AR0040200,2W1I0U7287 O,20160115,2,17,M,W, ,H
5,3,AR0040200,2W1I0U7287 R,20160115,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72870,20160113,1,58,M,U,1,N
5,3,AR0040200,2W1I0U728708,20160114,1,26,M,W,1,H
5,3,AR0040200,2W1I0U72872I,20160114,1,33,F,W,2,N
5,3,AR0040200,2W1I0U72872I,20160114,2,36,M,W, ,N
5,3,AR0040200,2W1I0U72872X,20160107,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72876,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72876D,20160112,1,0,U,U,2,U
5,3,AR0040200,2W1I0U72876D,20160112,2,0,U,U, ,U
5,3,AR0040200,2W1I0U72876I,20160114,1,0,F,W,2,N
5,3,AR0040200,2W1I0U72876I,20160114,2,47,M,W, ,N
5,3,AR0040200,2W1I0U72876N,20160115,1,21,M,W,1,N
5,3,AR0040200,2W1I0U72876R,20160115,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72876W,20160115,1,19,F,W,1,N
5,3,AR0040200,2W1I0U72876X,20160115,1,20,M,W,1,N
5,3,AR0040200,2W1I0U72878,20160115,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728784,20160115,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728788,20160116,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72878D,20160115,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72878I,20160115,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72878N,20160116,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72878O,20160116,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72878R,20160116,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72878W,20160116,1,0,U,U,1,U
5,3,AR0040200,2W1I0U72878X,20160116,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287B,20160113,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287B8,20160114,1,31,F,W,1,N
5,3,AR0040200,2W1I0U7287BN,20160114,1,20,M,W,2,H
5,3,AR0040200,2W1I0U7287BN,20160114,2,19,F,U, ,H
5,3,AR0040200,2W1I0U7287BR,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287BW,20160104,1,31,M,W,1,N
5,3,AR0040200,2W1I0U7287JI,20160113,1,14,M,W,1,H
5,3,AR0040200,2W1I0U7287JR,20160113,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287JW,20160113,1,40,M,W,1,N
5,3,AR0040200,2W1I0U7287JX,20160113,1,45,F,W,2,N
5,3,AR0040200,2W1I0U7287JX,20160113,2,20,F,W, ,N
5,3,AR0040200,2W1I0U7287K,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287K4,20160115,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287K8,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287KI,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287KR,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287KW,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287KX,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U7287T4,20160115,1,37,M,W,3,H
5,3,AR0040200,2W1I0U7287T4,20160115,2,21,M,W, ,H
5,3,AR0040200,2W1I0U7287T4,20160115,3,25,M,W, ,H
5,3,AR0040200,2W1I0U7287TR,20160114,2,0,U,U,1,U
5,3,AR0040200,2W1I0U7287TX,20160115,1,33,M,W,1,N
5,3,AR0040200,2W1I0U7287XO,20160114,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728C,20160126,1,64,M,W,1,H
5,3,AR0040200,2W1I0U728C 4,20160125,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728C R,20160126,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728C0,20160123,1,59,M,W,1,N
5,3,AR0040200,2W1I0U728C0I,20160116,1,38,M,W,1,N
5,3,AR0040200,2W1I0U728C0N,20160123,1,0,M,W,1,H
5,3,AR0040200,2W1I0U728C2,20160124,1,39,M,W,1,H
5,3,AR0040200,2W1I0U728C24,20160124,1,32,M,W,1,N
5,3,AR0040200,2W1I0U728C28,20160124,2,14,M,W,4,N
5,3,AR0040200,2W1I0U728C28,20160124,3,0,M,W, ,N
5,3,AR0040200,2W1I0U728C28,20160124,4,0,M,W, ,N
5,3,AR0040200,2W1I0U728C28,20160124,5,0,U,U, ,U
5,3,AR0040200,2W1I0U728C2I,20151217,1,37,F,W,1,H
5,3,AR0040200,2W1I0U728C6,20160125,0, , , ,1, 
5,3,AR0040200,2W1I0U728C6I,20160125,1,44,F,W,1,N
5,3,AR0040200,2W1I0U728C6R,20160125,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728C8,20160126,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728C88,20160126,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728C8D,20160126,1,0,U,U,3,U
5,3,AR0040200,2W1I0U728C8D,20160126,2,20,M,W, ,H
5,3,AR0040200,2W1I0U728C8D,20160126,3,15,M,W, ,H
5,3,AR0040200,2W1I0U728C8O,20160126,2,17,M,W,3,N
5,3,AR0040200,2W1I0U728C8O,20160126,3,16,M,W, ,N
5,3,AR0040200,2W1I0U728C8O,20160126,4,17,M,W, ,H
5,3,AR0040200,2W1I0U728C8R,20160126,1,17,M,W,4,N
5,3,AR0040200,2W1I0U728C8R,20160126,2,41,F,W, ,N
5,3,AR0040200,2W1I0U728C8R,20160126,3,20,M,W, ,N
5,3,AR0040200,2W1I0U728C8R,20160126,4,15,M,W, ,N
5,3,AR0040200,2W1I0U728CB,20160123,1,60,M,U,3,N
5,3,AR0040200,2W1I0U728CB,20160123,2,0,U,U, ,U
5,3,AR0040200,2W1I0U728CB,20160123,3,0,U,U, ,U
5,3,AR0040200,2W1I0U728CB8,20160123,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CBW,20160124,1,13,M,W,1,N
5,3,AR0040200,2W1I0U728CJ,20160121,1,24,M,W,2,H
5,3,AR0040200,2W1I0U728CJ,20160121,2,0,U,U, ,U
5,3,AR0040200,2W1I0U728CJ4,20160120,1,0,M,W,4,H
5,3,AR0040200,2W1I0U728CJ4,20160120,2,14,M,W, ,H
5,3,AR0040200,2W1I0U728CJ4,20160120,3,16,M,W, ,H
5,3,AR0040200,2W1I0U728CJ4,20160120,4,13,M,W, ,H
5,3,AR0040200,2W1I0U728CJD,20160122,2,46,M,W,1,N
5,3,AR0040200,2W1I0U728CJI,20160122,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CJN,20160122,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CJR,20160122,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CJW,20160121,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CK8,20160124,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CT,20160116,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CT8,20160124,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CTD,20160111,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CTI,20160105,1,0,U,U,2,U
5,3,AR0040200,2W1I0U728CTI,20160105,2,0,U,U, ,U
5,3,AR0040200,2W1I0U728CTN,20160125,1,50,F,B,1,N
5,3,AR0040200,2W1I0U728CTR,20160118,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CX4,20160105,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CXD,20160123,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CXI,20160124,1,38,M,W,1,N
5,3,AR0040200,2W1I0U728CXO,20160123,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728CXW,20160123,1,0,F,W,1,N
5,3,AR0040200,2W1I0U728G,20160108,1,19,F,W,2,N
5,3,AR0040200,2W1I0U728G,20160108,2,22,M,W, ,N
5,3,AR0040200,2W1I0U728G 8,20160108,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728G D,20160103,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728G I,20160108,1,27,M,W,1,N
5,3,AR0040200,2W1I0U728G08,20151229,1,30,M,W,1,N
5,3,AR0040200,2W1I0U728G0D,20151221,1,22,M,W,2,N
5,3,AR0040200,2W1I0U728G0D,20151221,2,21,F,W, ,N
5,3,AR0040200,2W1I0U728G0I,20160106,1,25,U,U,1,U
5,3,AR0040200,2W1I0U728G0N,20150106,1,17,F,W,1,N
5,3,AR0040200,2W1I0U728G2,20160106,1,30,F,W,1,N
5,3,AR0040200,2W1I0U728G6,20160108,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728G64,20160107,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728G68,20160107,1,0,U,U,4,U
5,3,AR0040200,2W1I0U728G68,20160107,2,18,M,W, ,N
5,3,AR0040200,2W1I0U728G68,20160107,3,16,M,W, ,N
5,3,AR0040200,2W1I0U728G68,20160107,4,16,M,W, ,N
5,3,AR0040200,2W1I0U728G6N,20160108,1,58,M,W,1,N
5,3,AR0040200,2W1I0U728G6O,20151221,1,30,M,W,1,H
5,3,AR0040200,2W1I0U728G88,20151126,1,54,M,W,1,H
5,3,AR0040200,2W1I0U728G8D,20151226,1,55,M,W,1,H
5,3,AR0040200,2W1I0U728G8I,20151230,1,55,M,W,1,H
5,3,AR0040200,2W1I0U728G8O,20151224,1,55,M,W,1,H
5,3,AR0040200,2W1I0U728G8R,20151221,1,55,M,W,1,H
5,3,AR0040200,2W1I0U728G8W,20160107,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728G8X,20151230,1,55,M,W,1,H
5,3,AR0040200,2W1I0U728GBI,20160107,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728GBN,20160107,1,41,M,W,1,N
5,3,AR0040200,2W1I0U728GJ4,20160105,1,30,M,B,1,N
5,3,AR0040200,2W1I0U728GJ8,20160105,1,28,U,U,2,U
5,3,AR0040200,2W1I0U728GJ8,20160105,2,0,U,U, ,U
5,3,AR0040200,2W1I0U728GJR,20160105,1,23,M,W,1,N
5,3,AR0040200,2W1I0U728GJX,20160105,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728GK4,20160105,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728GKD,20160107,1,55,M,W,1,N
5,3,AR0040200,2W1I0U728GKI,20160106,1,34,F,W,1,N
5,3,AR0040200,2W1I0U728GKN,20160107,1,41,M,W,1,H
5,3,AR0040200,2W1I0U728GKR,20150527,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728GKX,20160107,1,36,F,W,1,N
5,3,AR0040200,2W1I0U728GT,20160108,1,24,M,W,1,N
5,3,AR0040200,2W1I0U728GT4,20160107,1,24,M,W,1,N
5,3,AR0040200,2W1I0U728GTI,20160106,1,25,F,W,1,N
5,3,AR0040200,2W1I0U728GTO,20160108,1,48,F,W,1,N
5,3,AR0040200,2W1I0U728GTR,20160108,1,25,M,W,2,N
5,3,AR0040200,2W1I0U728GTR,20160108,2,25,M,W, ,N
5,3,AR0040200,2W1I0U728GTW,20160107,1,32,F,W,1,H
5,3,AR0040200,2W1I0U728GXD,20160106,1,29,M,W,1,N
5,3,AR0040200,2W1I0U728GXN,20160106,1,29,M,W,1,N
5,3,AR0040200,2W1I0U728L D,20160128,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L O,20160126,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L R,20160128,1,21,M,W,2,N
5,3,AR0040200,2W1I0U728L R,20160128,2,0,U,U, ,U
5,3,AR0040200,2W1I0U728L W,20160128,1,31,F,W,1,N
5,3,AR0040200,2W1I0U728L X,20160128,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L0,20160127,1,31,F,W,1,N
5,3,AR0040200,2W1I0U728L04,20160123,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L0D,20160126,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L0I,20160126,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L0R,20160127,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L24,20160127,1,18,M,W,4,N
5,3,AR0040200,2W1I0U728L24,20160127,2,18,M,W, ,H
5,3,AR0040200,2W1I0U728L24,20160127,3,20,F,W, ,N
5,3,AR0040200,2W1I0U728L24,20160127,4,19,F,W, ,N
5,3,AR0040200,2W1I0U728L28,20160127,1,22,M,W,3,H
5,3,AR0040200,2W1I0U728L28,20160127,2,20,F,W, ,N
5,3,AR0040200,2W1I0U728L28,20160127,3,24,M,W, ,N
5,3,AR0040200,2W1I0U728L2D,20160124,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L2N,20160127,1,20,F,W,1,N
5,3,AR0040200,2W1I0U728L2X,20160123,1,32,M,W,1,N
5,3,AR0040200,2W1I0U728L68,20160128,1,20,M,B,1,N
5,3,AR0040200,2W1I0U728L6I,20160123,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L6O,20160128,1,19,M,W,1,H
5,3,AR0040200,2W1I0U728L6X,20160128,1,20,M,W,1,N
5,3,AR0040200,2W1I0U728L88,20160128,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L8D,20160128,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L8I,20160129,1,0,M,W,2,H
5,3,AR0040200,2W1I0U728L8I,20160129,2,37,M,W, ,H
5,3,AR0040200,2W1I0U728L8N,20160128,1,40,M,W,1,N
5,3,AR0040200,2W1I0U728L8O,20160129,1,66,M,W,2,N
5,3,AR0040200,2W1I0U728L8O,20160129,2,39,M,W, , 
5,3,AR0040200,2W1I0U728L8R,20160129,1,0,U,U,1,U
5,3,AR0040200,2W1I0U728L8X,20160128,1,0,U,U,1,U
