V5001,V5002,V5003,case_number,V5005,V5006,V5007,V5008,V5009,V5010,V5011
5,1,AL0011200,2W1I0U7 8YJI,20160420,1,29,F,B,1, 
5,1,AL0011200,2W1I0U7 9284,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 928N,20160425,1,55,F,B,1, 
5,1,AL0011200,2W1I0U7 92BX,20160424,1,30,M,W,1, 
5,1,AL0011200,2W1I0U7 92K4,20160425,1,21,F,B,1, 
5,1,AL0011200,2W1I0U7 92K8,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 9GK,20160422,1,16,M,W,3, 
5,1,AL0011200,2W1I0U7 9GK,20160422,2,16,M,W, , 
5,1,AL0011200,2W1I0U7 9GK,20160422,3,15,M,W, , 
5,1,AL0011200,2W1I0U7 9L6X,20160424,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 9N,20160422,1,38,M,W,1, 
5,1,AL0011200,2W1I0U7 9N W,20160218,1,19,F,B,2, 
5,1,AL0011200,2W1I0U7 9N W,20160218,2,20,M,B, , 
5,1,AL0011200,2W1I0U7 9NK4,20160421,0, , , ,1, 
5,1,AL0011200,2W1I0U7 9Y O,20160423,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 9Y0,20160423,1,62,M,W,1, 
5,1,AL0011200,2W1I0U7 9YJX,20160423,1,21,F,W,1, 
5,1,AL0011200,2W1I0U7 I7KW,20160430,0, , , ,1, 
5,1,AL0011200,2W1I0U7 IC 8,20160503,1,52,F,W,1, 
5,1,AL0011200,2W1I0U7 ICBN,20160502,1,16,F,B,1, 
5,1,AL0011200,2W1I0U7 ICJ4,20160503,2,10,M,W,1, 
5,1,AL0011200,2W1I0U7 ICKR,20160502,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ILTW,20160503,1,23,M,B,1, 
5,1,AL0011200,2W1I0U7 INJO,20160501,1,35,M,B,1, 
5,1,AL0011200,2W1I0U7 INXX,20160430,0, , , ,1, 
5,1,AL0011200,2W1I0U7 IX2R,20160503,1,19,M,W,1, 
5,1,AL0011200,2W1I0U7 IXXX,20160503,1,36,F,B,1, 
5,1,AL0011200,2W1I0U7 IY 4,20160502,1,18,M,B,1, 
5,1,AL0011200,2W1I0U7 IY0W,20160502,1,43,M,B,1, 
5,1,AL0011200,2W1I0U7 IYB,20160502,1,46,F,B,1, 
5,1,AL0011200,2W1I0U7 IYB8,20160502,1,19,F,B,4, 
5,1,AL0011200,2W1I0U7 IYB8,20160502,2,20,F,B, , 
5,1,AL0011200,2W1I0U7 IYB8,20160502,3,17,F,B, , 
5,1,AL0011200,2W1I0U7 IYB8,20160502,4,49,F,B, , 
5,1,AL0011200,2W1I0U7 IYXN,20160404,1,38,M,W,1, 
5,1,AL0011200,2W1I0U7 J48N,20160411,1,77,F,W,1, 
5,1,AL0011200,2W1I0U7 J48R,20160504,0, , , ,1, 
5,1,AL0011200,2W1I0U7 J6 8,20160505,1,42,M,W,1, 
5,1,AL0011200,2W1I0U7 J6TI,20160504,0, , , ,1, 
5,1,AL0011200,2W1I0U7 J6XI,20160504,1,49,M,B,2, 
5,1,AL0011200,2W1I0U7 J6XI,20160504,2,49,F,B, , 
5,1,AL0011200,2W1I0U7 J6XN,20160504,1,18,F,B,2, 
5,1,AL0011200,2W1I0U7 J6XN,20160504,2,21,M,B, , 
5,1,AL0011200,2W1I0U7 J6XR,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 J768,20160505,1,21,M,B,1, 
5,1,AL0011200,2W1I0U7 J7BR,20160505,1,49,M,B,1, 
5,1,AL0011200,2W1I0U7 JCB,20160505,1,15,M,B,1, 
5,1,AL0011200,2W1I0U7 JCBO,20160505,1,16,M,W,2, 
5,1,AL0011200,2W1I0U7 JCBO,20160505,2,24,M,W, , 
5,1,AL0011200,2W1I0U7 JCJ,20160505,1,45,M,W,1, 
5,1,AL0011200,2W1I0U7 JCX,20160505,1,49,F,B,1, 
5,1,AL0011200,2W1I0U7 JCXX,20160505,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JG N,20160504,1,24,M,B,3, 
5,1,AL0011200,2W1I0U7 JG N,20160504,2,23,M,B, , 
5,1,AL0011200,2W1I0U7 JG N,20160504,3,24,M,B, , 
5,1,AL0011200,2W1I0U7 JG2I,20160504,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JGBN,20160504,1,30,M,B,1, 
5,1,AL0011200,2W1I0U7 JGBR,20160504,1,22,M,B,1, 
5,1,AL0011200,2W1I0U7 JNTW,20160429,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JXBR,20160417,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JXXN,20160504,1,22,M,B,2, 
5,1,AL0011200,2W1I0U7 JXXN,20160504,2,21,M,B, , 
5,1,AL0011200,2W1I0U7 JY D,20160505,0, , , ,1, 
5,1,AL0011200,2W1I0U7 JY N,20160411,1,43,M,B,2, 
5,1,AL0011200,2W1I0U7 JY N,20160411,2,21,M,B, , 
5,1,AL0011200,2W1I0U7 JYX8,20160504,1,13,M,B,1, 
5,1,AL0011200,2W1I0U7 L208,20160428,0, , , ,1, 
5,1,AL0011200,2W1I0U7 L2TO,20160428,1,13,F,B,1, 
5,1,AL0011200,2W1I0U7 L48,20160427,1,18,F,A,1, 
5,1,AL0011200,2W1I0U7 L48D,20160427,1,19,M,B,1, 
5,1,AL0011200,2W1I0U7 L62,20160424,0, , , ,1, 
5,1,AL0011200,2W1I0U7 L62W,20160426,1,32,M,B,1, 
5,1,AL0011200,2W1I0U7 L68I,20160426,1,17,F,B,1, 
5,1,AL0011200,2W1I0U7 L6B8,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 L6XW,20160426,1,32,M,B,1, 
5,1,AL0011200,2W1I0U7 L72O,20160426,1,18,F,B,1, 
5,1,AL0011200,2W1I0U7 L7BD,20160425,1,17,F,B,1, 
5,1,AL0011200,2W1I0U7 L7BI,20160426,1,49,M,B,1, 
5,1,AL0011200,2W1I0U7 LC0,20160426,1,17,F,B,3, 
5,1,AL0011200,2W1I0U7 LC0,20160426,2,49,M,B, , 
5,1,AL0011200,2W1I0U7 LC0,20160426,3,18,M,B, , 
5,1,AL0011200,2W1I0U7 LC88,20160427,1,20,M,W,1, 
5,1,AL0011200,2W1I0U7 LCBW,20160427,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 LCX,20160427,1,22,F,W,1, 
5,1,AL0011200,2W1I0U7 LG2O,20160425,1,22,M,W,1, 
5,1,AL0011200,2W1I0U7 LGJX,20160425,2,42,M,B,1, 
5,1,AL0011200,2W1I0U7 LL0I,20160415,1,17,M,W,1, 
5,1,AL0011200,2W1I0U7 LL0X,20160427,1,42,F,W,1, 
5,1,AL0011200,2W1I0U7 LL6D,20160427,1,32,M,W,1, 
5,1,AL0011200,2W1I0U7 LLJ4,20160423,0, , , ,1, 
5,1,AL0011200,2W1I0U7 LN N,20160425,0, , , ,1, 
5,1,AL0011200,2W1I0U7 LN O,20160425,1,34,M,W,1, 
5,1,AL0011200,2W1I0U7 LN6W,20160424,1,49,M,W,3, 
5,1,AL0011200,2W1I0U7 LN6W,20160424,2,49,F,W, , 
5,1,AL0011200,2W1I0U7 LN6W,20160424,3,49,F,W, , 
5,1,AL0011200,2W1I0U7 LNBX,20160425,1,30,F,B,1, 
5,1,AL0011200,2W1I0U7 LNJ,20160425,1,17,F,B,1, 
5,1,AL0011200,2W1I0U7 LNTO,20160425,1,26,M,W,1, 
5,1,AL0011200,2W1I0U7 LX08,20160427,1,36,M,W,1, 
5,1,AL0011200,2W1I0U7 LXJ4,20160427,1,49,M,B,3, 
5,1,AL0011200,2W1I0U7 LXJ4,20160427,2,49,F,B, , 
5,1,AL0011200,2W1I0U7 LXJ4,20160427,3,36,F,B, , 
5,1,AL0011200,2W1I0U7 LYXI,20160426,1,21,M,W,1, 
5,1,AL0011200,2W1I0U7 S26O,20160509,1,35,F,B,1, 
5,1,AL0011200,2W1I0U7 S28I,20160509,1,19,M,B,1, 
5,1,AL0011200,2W1I0U7 S42R,20160508,1,26,F,B,1, 
5,1,AL0011200,2W1I0U7 S48D,20160508,1,38,F,B,1, 
5,1,AL0011200,2W1I0U7 S608,20160408,0, , , ,1, 
5,1,AL0011200,2W1I0U7 S60N,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 S7 4,20160507,1,22,M,B,1, 
5,1,AL0011200,2W1I0U7 S7 8,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 S7 R,20160507,1,19,F,B,1, 
5,1,AL0011200,2W1I0U7 S78O,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SC0,20160508,1,21,M,B,1, 
5,1,AL0011200,2W1I0U7 SC28,20160508,1,46,M,B,1, 
5,1,AL0011200,2W1I0U7 SC8,20160508,1,47,M,W,1, 
5,1,AL0011200,2W1I0U7 SC8D,20160508,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SCB4,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SCJW,20160508,1,37,M,B,1, 
5,1,AL0011200,2W1I0U7 SCK8,20160508,1,22,M,W,1, 
5,1,AL0011200,2W1I0U7 SCTW,20160508,1,37,F,B,1, 
5,1,AL0011200,2W1I0U7 SL08,20160508,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SL8D,20160509,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SN 8,20160506,1,19,M,B,1, 
5,1,AL0011200,2W1I0U7 SN0D,20160506,1,29,F,B,1, 
5,1,AL0011200,2W1I0U7 SN0W,20160506,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 SN24,20160506,1,21,M,W,1, 
5,1,AL0011200,2W1I0U7 SNT4,20160506,1,66,M,W,1, 
5,1,AL0011200,2W1I0U7 SXXW,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SYBO,20160507,1,26,M,W,1, 
5,1,AL0011200,2W1I0U7 SYJ8,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SYJD,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SYJO,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 SYJR,20160507,0, , , ,1, 
5,1,AL0011200,2W1I0U7 U2B4,20160501,1,40,F,W,1, 
5,1,AL0011200,2W1I0U7 U2K8,20160501,1,40,M,W,2, 
5,1,AL0011200,2W1I0U7 U2K8,20160501,2,39,F,W, , 
5,1,AL0011200,2W1I0U7 U2T8,20160501,1,33,M,B,1, 
5,1,AL0011200,2W1I0U7 U6 4,20160429,1,18,M,B,1, 
5,1,AL0011200,2W1I0U7 U62O,20160429,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 U6BW,20160429,1,49,M,W,1, 
